Root,CurNode,CurTime,NextTime
007038,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007039,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007040,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004765,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001505,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007041,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002101,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007042,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007043,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001091,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003476,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005130,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004372,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007044,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007045,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002839,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001342,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
003072,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007046,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007047,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007048,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007049,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007050,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007051,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002047,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001981,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006146,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007052,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
